vendor,price,cat1,cat2,cat3,title
all_around_theclock,0.022817,Drugs,Cannabis,Weed,"Juicy Fruit AAA+ Quality Bud 28g 1oz INTRO DEAL!!!"
amsterdam-dream,0.000898,Drugs,Cannabis,Weed,"INTRO OFFER - 1g Casey Jones (Amsterdam) AAA+ HQ - FREE SHIPPING"
amsterdam-dream,0.000898,Drugs,Psychedelics,Mushrooms,"1g Potent Psylocibe Cubensis Magic Mushrooms &amp; Free shipping"
amsterdam-dream,0.001539,Drugs,Psychedelics,Mushrooms,"2g Mexican Magic Mushrooms &amp; Free shipping"
amsterdam-dream,0.001539,Drugs,Psychedelics,Mushrooms,"3g Mexican Magic Mushrooms &amp; Free shipping"
amsterdam-dream,0.001541,Drugs,Psychedelics,Mushrooms,"2g Potent Psylocibe Cubensis Magic Mushrooms &amp; Free shipping"
amsterdam-dream,0.001872,Drugs,Cannabis,Weed,"1g Casey Jones (Amsterdam) AAA+ HQ"
amsterdam-dream,0.001924,Drugs,Cannabis,Weed,"1g Casey Jones (Amsterdam) AAA+ HQ - FREE SHIPPING"
amsterdam-dream,0.002052,Drugs,Psychedelics,Mushrooms,"4g Mexican Magic Mushrooms &amp; Free shipping"
amsterdam-dream,0.002311,Drugs,Psychedelics,Mushrooms,"3g Potent Psylocibe Cubensis Magic Mushrooms &amp; Free shipping"
amsterdam-dream,0.002565,Drugs,Psychedelics,Mushrooms,"5g Mexican Magic Mushrooms &amp; Free shipping"
amsterdam-dream,0.003078,Drugs,Psychedelics,Mushrooms,"4g Potent Psylocibe Cubensis Magic Mushrooms &amp; Free shipping"
amsterdam-dream,0.003206,Drugs,Psychedelics,Mushrooms,"5g Potent Psylocibe Cubensis Magic Mushrooms &amp; Free shipping"
amsterdam-dream,0.003848,Drugs,Psychedelics,Mushrooms,"6g Potent Psylocibe Cubensis Magic Mushrooms &amp; Free shipping"
amsterdam-dream,0.003937,Drugs,Cannabis,Weed,"2.5g Casey Jones (Amsterdam) AAA+ HQ"
amsterdam-dream,0.00513,Drugs,Psychedelics,Mushrooms,"1/2 oz (14g) Mexican Magic Mushrooms &amp; Free shipping"
amsterdam-dream,0.005387,Drugs,Psychedelics,Mushrooms,"7g Potent Psylocibe Cubensis Magic Mushrooms &amp; Free shipping"
amsterdam-dream,0.006413,Drugs,Psychedelics,Mushrooms,"10g Mexican Magic Mushrooms &amp; Free shipping"
amsterdam-dream,0.006413,Drugs,Psychedelics,Mushrooms,"10g Potent Psylocibe Cubensis Magic Mushrooms &amp; Free shipping"
amsterdam-dream,0.00642,Drugs,Psychedelics,Mushrooms,"10g Potent Psylocibe Cubensis Magic Mushrooms &amp; Free shipping"
amsterdam-dream,0.008977,Drugs,Psychedelics,Mushrooms,"1 oz (28g) Potent Mexican Magic Mushrooms &amp; Free shipping"
amsterdam-dream,0.008978,Drugs,Psychedelics,Mushrooms,"1/2 oz (14g) Mexican Magic Mushrooms &amp; Free shipping"
amsterdam-dream,0.009617,Drugs,Cannabis,Weed,"6g Casey Jones (Amsterdam) AAA+ HQ"
amsterdam-dream,0.011166,Drugs,Cannabis,Weed,"7g Casey Jones (Amsterdam) AAA+ HQ"
amsterdam-dream,0.012715,Drugs,Cannabis,Weed,"8g Casey Jones (Amsterdam) AAA+ HQ"
amsterdam-dream,0.015167,Drugs,Cannabis,Weed,"10g Casey Jones (Amsterdam) AAA+ HQ"
amsterdam-dream,0.016158,Drugs,Psychedelics,Mushrooms,"1 oz (28g) Potent Mexican Magic Mushrooms &amp; Free shipping"
amsterdamdrugs,0.002064,Drugs,Empathogens,Ecstasy,"2 x XTC Yellow Nintendo Pills 190mg"
amsterdamdrugs,0.002193,Drugs,Empathogens,Ecstasy,"2 x XTC MDMA 220mg Domino Pills"
amsterdamdrugs,0.002838,Drugs,Cannabis,Weed,"2 gr. Platinum OG Kush AAA+ Indoor"
amsterdamdrugs,0.003999,Drugs,Empathogens,Ecstasy,"5 x XTC Yellow Nintendo Pills 190mg"
amsterdamdrugs,0.004128,Drugs,Empathogens,Ecstasy,"5 x XTC MDMA 220mg Domino Pills"
amsterdamdrugs,0.006063,Drugs,Empathogens,Ecstasy,"10 x XTC Yellow Nintendo Pills 190mg"
amsterdamdrugs,0.006708,Drugs,Cannabis,Weed,"5 gr. Platinum OG Kush AAA+ Indoor"
amsterdamdrugs,0.006708,Drugs,Empathogens,Ecstasy,"10 x XTC MDMA 220mg Domino Pills"
amsterdamdrugs,0.011868,Drugs,Cannabis,Weed,"10 gr. Platinum OG Kush AAA+ Indoor"
amsterdamdrugs,0.011868,Drugs,Empathogens,Ecstasy,"25 x XTC Yellow Nintendo Pills 190mg"
amsterdamdrugs,0.013158,Drugs,Empathogens,Ecstasy,"25 x XTC MDMA 220mg Domino Pills"
amsterdamdrugs,0.022187,Drugs,Empathogens,Ecstasy,"50 x XTC Yellow Nintendo Pills 190mg"
amsterdamdrugs,0.022832,Drugs,Empathogens,Ecstasy,"50 x XTC MDMA 220mg Domino Pills"
amsterdamdrugs,0.026057,Drugs,Cannabis,Weed,"25 gr. Platinum OG Kush AAA+ Indoor"
amsterdamdrugs,0.037667,Drugs,Empathogens,Ecstasy,"100 x XTC Yellow Nintendo Pills 190mg"
amsterdamdrugs,0.038957,Drugs,Empathogens,Ecstasy,"100 x XTC MDMA 220mg Domino Pills"
amsterdamdrugs,0.046697,Drugs,Cannabis,Weed,"50 gr. Platinum OG Kush AAA+ Indoor"
