vendor,price,cat1,cat2,cat3,title
uncutkingg,0.178663,Drugs,Stimulants,Cocaine,'28g PURE FISHSCALE COCAINE FROM UNCUTKING *FAST SHIPPING*'
chemicalstore,0.016383,Drugs,Dissociatives,Ketamine,'5 gr. Ketamine Crystal S-Isomer 87% '
a-team,0.004493,Drugs,Pharmacy,Benzos,'Rivotril (Roche) 2mg 10kpl'
stealthpharmacy,0.005104,Drugs,Pharmacy,Benzos,'Galenika Xanax/Alprazolam 1mg X 30 Tabs. Pharmacy '
pachoherrera,0.173283,Drugs,Empathogens,Ecstasy,'1000 X FORMULA 1 XTC'
charliechaplame,0.178417,Other products,Services,Trafficking,'0.70 Carat I-I1 Good Cut Round Diamond  at 1,370 '
kvalitetsroyk123,0.029512,Drugs,Stimulants,Amphetamine,'Custom for goil'
theshop,0.001043,,Other products,Digital items,'DIRECTV+HULU+HBO [LIFETIME]'
a-team,0.006411,Drugs,Pharmacy,Sleep,'Zopinox (Imovane) 7,5mg/ 10kpl.'
wirex-card,0.038518,Drugs,Stimulants,Metamphetamine,'5 g Crystal Meth Very High Quality &quot;Pink Champagne&quot;'
cerberus,0.002187,Other products,Classifieds,Replicas,'Henleys Button Up Cardi '
appleinc,0.019832,,Other products,Services,'10 x $100 DOLLAR COUNTERFEIT, STRIP, PASS PEN TEST'
drugs-evil,0.018072,Drugs,Stimulants,Cocaine,'2 GR PERU/BOLIVIA COCAINE VERY STRONG 92%'
multi-store,0.05027,Drugs,Cannabis,Hash,'100 gr real Red Lebanese Pollen Hashish'
theshop,0.001046,Other products,Digital items,Erotica,'★PORN ACCOUNT★ JIZZONTEENS – Lifetime'
odinshop,0.033366,Drugs,Depressants,GHB / GBL,'Norsk GHB 5dl kampanje'
expressdude,0.04221,Drugs,Cannabis,Weed,'50 gr. White Widow Weed Dutch Quality indoor'
drugsofspain,0.037692,Drugs,Cannabis,Weed,'50 gr. AMNESIA Haze. Top Quality AAA+ outdoor'
bentso-team,0.003722,Drugs,Pharmacy,Benzos,'Medipam 5mg/10kpl'
dr-overdose,0.008465,Drugs,Pharmacy,Benzos,'30 X Alprox 0.5 mg Suomen apteekkitavaraa'
appleinc,0.019832,,Other products,Classifieds,'10 x $100 DOLLAR COUNTERFEIT, STRIP, PASS PEN TEST'
drugs-evil,0.070996,Drugs,Stimulants,Cocaine,'10 gr COCAINE CRISTAL VERY STRONG 92% ORGINAIL TOP AAA+++'
cbdqueenuk,0.0,Drugs,Pharmacy,Benzos,'50 x 2mg Pfizer x/2 Xanax (Alprazolam) bars'
dope-bank,0.115649,Drugs,Stimulants,Cocaine,'20 gr. Colombian uncut pure Cocaine 88%'
wooody,0.001042,,Other products,Services,'Blacked.com - [LIFETIME PORN PREMIUM ACCOUNT]'
moon-light,0.019489,Drugs,Stimulants,Metamphetamine,'2,5 gr. of fire meth from the source'
bookface,0.059789,Drugs,Stimulants,Cocaine,'PURE.COCAINE.7G'
cocacolafr,0.044017,Drugs,Stimulants,Cocaine,'4g Cocaine Colombian Pure 90%+'
ragstoriches1,0.029749,Drugs,Stimulants,Metamphetamine,'❤ 7g ICE | crystal METH ★ HQ ❤'
stuff-highway,0.075262,Drugs,Stimulants,Cocaine,'10 gr PURE QUALITY COLOMBIAN COCAIN'
appleinc,0.019832,,Other products,Classifieds,'10 x $100 DOLLAR COUNTERFEIT, STRIP, PASS PEN TEST'
legendary-shop,0.006063,Drugs,Empathogens,MDMA,'5 GRAM MDMA CHAMPAGNE ##BEST QUALITY##'
ladyskywalker,0.039172,Drugs,Opiates,Oxycodone,'PERCOCET (Oxycodone 7.5mg/325) $12 each X 30 PILLS '
dreamdoc,0.038725,Other products,Services,Money,'Super Best Quality counterfeit Euro Bills 20x€50= €1000 Promo!!'
fakeid4worldwide,0.000932,Other products,Services,Fake IDs,'TEMPLATE CANADA DRIVER LICENSE (NEW ONTARIO) PSD!!'
unique,0.007145,Drugs,Psychedelics,Mushrooms,'5g Psilocybe Cubensis'
dutchcandyshop,0.144241,Drugs,Dissociatives,Ketamine,'50 G KETAMINE ⓀⒺⓉⒶ S-ISO 99% AAA+ HIGHEST QUALITY'
thehappycrew,0.006325,Drugs,Cannabis,Weed,'5 gram HAPPY SPECIAL AAA+++ INDOOR INDICA'
md,0.000312,Other products,Digital items,Other digital,'Add Me Fast Bot 2017 [FAST SHIPPING]'
bugz-dw,0.032089,Drugs,Cannabis,Weed,'25g Weed du lapin !'
katkosajatus,0.005805,Drugs,Pharmacy,Benzos,'Tenox 20mg 10kpl (Suomen Apteekista!)'
bmg1,0.009192,Drugs,Cannabis,Weed,'Assorted  TRIM 28g (1 Ounce)'
drugs-love,0.113852,Drugs,Stimulants,Cocaine,'20 gr. Colombian Cocaine 88%+- UNCUT &amp; UNTOUCH '
medicsnl,0.039149,Drugs,Cannabis,Hash,'50GR - KING MAROC HASH'
