'/multi-store',0.002461,'Drugs','Empathogens','Ecstasy','3 XTC GREEN ANDROIDS 220MG'
'/unique',0.007145,'Drugs','Pharmacy','Benzos','10 x Xanor® 2mg (sealed bottle w/description and carton for 100x)'
'/charliechaplame',0.01357,'Drugs','Pharmacy','Pain','30 Xanax ( Alprazplam ) 3mg customized order '
'/hackyboy',0.001742,'Other products','Services','Forged documents','♤ $50 PSD TEMPLATES + TOP COUNTERFEITING TUTOS ♤'
'/goingpostai',0.031302,'Drugs','Dissociatives','Ketamine','5.0 GRAMS KETAMINE S-ISOMER -REAGENT TESTED'
'/dope-store',0.038721,'Drugs','Empathogens','Ecstasy','100 x Ikea XTC 200mg+ MDMA'
'/hollanpetters',0.041791,'Other products','Self-defence','Guns and ammo','Taurus RAGING HORNET, 22 Hornet, Like New, 8 Shot, 10&quot; Barrel'
'/wendy',0.001046,'Other products','Digital items','Erotica','Brazilian-transsexuals - [PORN LIFETIME ACCOUNT]'
'/wooody',0.000886,'Other products','Digital items','Erotica','WTFPass.com - [LIFETIME PORN PREMIUM ACCOUNT]'
'/bitcoiguy',0.502033,'Drugs','Pharmacy','Benzos',' HOLIDAY OFFER!!  2mg XANAX R039 = 10,000'
'/drugsrus',0.011533,'Drugs','Cannabis','Weed','14G AAA+++ Medical Marijuana (FE)'
'/qualityhydrobuds',0.004259,'Drugs','Cannabis','Weed','LSD Feminized 5 Seeds *Free Post*'
'/doktorgreen',0.002052,'Drugs','Cannabis','Weed','1g Enemy of the State Worldclass Medical Cannabis AAA++'
'/md',0.00313,'Drugs','Dissociatives','Salvia','Salvia Divinorum 10X extract - 1 GRAM '
'/fakeid4worldwide',0.001246,'Other products','Services','Fake IDs','TEMPLATE UK PASSPORT PSD!!! (EDITABLE)'
'/weedtastic',1.200863,'Drugs','Cannabis','Hash','Marrocan Ketama 3000 Gram'
'/drugswhole',0.038775,'Drugs','Cannabis','Hash','50 gr Karamell Hash'
'/misterpills',0.005237,'Other products','Body building','Testosterone','TESTOSTERONE ENANTHATE PLACE YOUR ORDER NOW'
'/pharma-deal',0.087098,'Drugs','Opiates','','250 Pills Percocet 10 MG (5% Extra pills on FE)'
'/wendy',0.001044,'Other products','Digital items','Other digital','VideoBox - [PORN LIFETIME ACCOUNT]'
'/egregore',0.073108,'Drugs','Pharmacy','Benzos','★ Galenika Ksalol (Alprazolam) ☛ 1000 pills x 1 mg ☚ BEST PRICE ★'
'/wendy',0.001044,'Other products','Digital items','Erotica','MenAtPlay.com – [GAY PORN LIFETIME ACCOUNT]'
'/bestherbs',0.03857,'Drugs','Cannabis','Weed','50g Medical AK-47'
'/rocketchem',0.008452,'Drugs','Pharmacy','Benzos','Etilaam ® 200 tablets 1mg Etizolam'
'/captain_kirk',0.000103,'Other products','Digital items','Ebooks','DMT The Spirit Molecule - Rick Strassman'
'/hollanpetters',0.151507,'Other products','Self-defence','Guns and ammo','Beretta PX4 Storm Sub Compact .40S&amp;W'
'/ksanori',0.023617,'Drugs','Stimulants','Cocaine','Kokaiini 1g'
'/silverapples',0.00201,'Drugs','Psychedelics','DMT / AMT','0.5g Changa DMT 50/50 natural blue moon [FE 25%OFF]'
'/qzfwrty',0.008988,'Drugs','Empathogens','MDMA','15 GRAM MDMA crystals 84% '
'/danhash',0.006531,'Drugs','Cannabis','Hash','5g Premium Pure Organic Black Himalayan Charas (Indica)'
'/youngamsterdam',0.026284,'Drugs','Empathogens','Ecstasy','100x Heineken XTC MDMA Pills  140-160mg'
'/rocketchem',0.024643,'Drugs','Stimulants','','4-EMC 25g'
'/appleinc',0.009916,'Drugs','Pharmacy','Benzos','100 x 10mg Roche Diazepam (Loose)'
'/simon-labond',0.900145,'Drugs','Pharmacy','Benzos','8 Ounces Alprazolam Powder (224g) 99.9% Pure Sale Price!'
'/noogz',0.115818,'Drugs','Empathogens','Ecstasy','1000x Bird Ecstasy mdma pill 140+ MG'
'/dope-total',0.002051,'Drugs','Psychedelics','LSD','2 x Truth LSD 200uq Gold Crystal Pure Experience (Jerry Garcia)'
'/kingcarder',0.000089,'Other products','Digital items','Guides and tutorials','PGP Tutorial For Newbs (Gpg4Win)'
'/extramoney',0.029105,'Drugs','Opiates','Heroin','5 gr high quality Afghan Heroin'
'/fast1egen',0.00642,'Drugs','Pharmacy','ADHD','Ritalin Novartis 20 mg ORIGINAL 10 caps Long Release'
'/dmt-king',0.00387,'Drugs','Psychedelics','DMT / AMT','0,5 GRAM  DMT YELLOW (DMT 85%)(free shipping)'
'/xtc-love',0.097205,'Drugs','Cannabis','Hash','(FE) 125gr High Quality Maroccan Soft Hash AAA+! '
'/wirex-card',0.021442,'Drugs','Stimulants','Metamphetamine','2,5 g Crystal Meth Very High Quality &quot;Pink Champagne&quot;'
'/rocketchem',0.002269,'Drugs','Stimulants','','PV-8 ( ALPHA-PHPP) 1g'
'/wooody',0.001042,'','Other products','Services','VividCeleb.com - [LIFETIME PORN PREMIUM ACCOUNT]'
'/captain_kirk',0.000103,'Other products','Digital items','Ebooks','543 For Dummies E-Books'
'/greenjack',0.001461,'Drugs','Cannabis','Weed','Pot Of Gold 1g/Outdoor/AAA'
